LIBELLE_ARRET,ligne_res
VARENNE,METRO 13
BROCHANT      ,METRO 13
DUROC         ,METRO 13
GABRIEL PERI  ,METRO 13
GAITE         ,METRO 13
GARIBALDI     ,METRO 13
GUY MOQUET    ,METRO 13
INVALIDES     ,METRO 13
LA FOURCHE    ,METRO 13
LES AGNETTES  ,METRO 13
LIEGE         ,METRO 13
MIROMESNIL    ,METRO 13
MONTPARNASSE  ,METRO 13
PERNETY       ,METRO 13
PLAISANCE     ,METRO 13
SAINT-LAZARE  ,METRO 13
VARENNE       ,METRO 13
GABRIEL PERI,METRO 13
LES AGNETTES,METRO 13
GABRIEL PERI-ASNIERES-GENNEVILLIERS,METRO 13
LES AGNETTES-ASNIERES-GENNEVILLIERS,METRO 13
BERCY,METRO 14
BIBLIOTHEQUE FRANCOIS MITTERRAND,METRO 14
CHATELET,METRO 14
COUR SAINT-EMILION,METRO 14
GARE DE LYON,METRO 14
MADELEINE,METRO 14
MAIRIE DE SAINT-OUEN,METRO 14
MAISON BLANCHE,METRO 14
OLYMPIADES,METRO 14
PONT-CARDINET,METRO 14
PORTE DE CLICHY,METRO 14
PORTE-DE-CLICHY,METRO 14
PYRAMIDES,METRO 14
SAINT-LAZARE,METRO 14
SAINT-OUEN,METRO 14
PONT CARDINET ,METRO 14
BERCY         ,METRO 14
CHATELET      ,METRO 14
GARE DE LYON  ,METRO 14
MADELEINE     ,METRO 14
OLYMPIADES    ,METRO 14
PYRAMIDES     ,METRO 14
SAINT-LAZARE  ,METRO 14
PONT CARDINET,METRO 14
ALEXANDRE DUMAS,METRO 2
ANVERS,METRO 2
AVRON,METRO 2
BARBES-ROCHECHOUART,METRO 2
BELLEVILLE,METRO 2
BLANCHE,METRO 2
CHARLES DE GAULLE ETOILE,METRO 2
COLONEL FABIEN,METRO 2
COURCELLES,METRO 2
COURONNES,METRO 2
JAURES,METRO 2
LA CHAPELLE,METRO 2
MENILMONTANT,METRO 2
MONCEAU,METRO 2
NATION,METRO 2
PERE LACHAISE,METRO 2
PHILIPPE AUGUSTE,METRO 2
PIGALLE,METRO 2
PLACE DE CLICHY,METRO 2
ROME,METRO 2
STALINGRAD,METRO 2
TERNES,METRO 2
VICTOR HUGO,METRO 2
VILLIERS,METRO 2
PORTE DAUPHINE,METRO 2
ANVERS        ,METRO 2
AVRON         ,METRO 2
BELLEVILLE    ,METRO 2
BLANCHE       ,METRO 2
COURCELLES    ,METRO 2
COURONNES     ,METRO 2
JAURES        ,METRO 2
LA CHAPELLE   ,METRO 2
MENILMONTANT  ,METRO 2
MONCEAU       ,METRO 2
NATION        ,METRO 2
PERE-LACHAISE ,METRO 2
PIGALLE       ,METRO 2
ROME          ,METRO 2
STALINGRAD    ,METRO 2
TERNES        ,METRO 2
VICTOR HUGO   ,METRO 2
VILLIERS      ,METRO 2
PERE-LACHAISE,METRO 2
ANATOLE FRANCE,METRO 3
BOURSE,METRO 3
EUROPE,METRO 3
GALLIENI (PARC DE BAGNOLET),METRO 3
GAMBETTA,METRO 3
HAVRE-CAUMARTIN,METRO 3
LOUISE MICHEL,METRO 3
MALESHERBES,METRO 3
OPERA,METRO 3
PARMENTIER,METRO 3
PERE LACHAISE,METRO 3
PEREIRE-LEVALLOIS,METRO 3
PORTE DE BAGNOLET,METRO 3
PORTE DE CHAMPERRET,METRO 3
QUATRE SEPTEMBRE,METRO 3
REAUMUR-SEBASTOPOL,METRO 3
REPUBLIQUE,METRO 3
SAINT-LAZARE,METRO 3
SAINT-MAUR,METRO 3
SENTIER,METRO 3
TEMPLE,METRO 3
VILLIERS,METRO 3
WAGRAM,METRO 3
BOURSE        ,METRO 3
EUROPE        ,METRO 3
GALLIENI      ,METRO 3
GAMBETTA      ,METRO 3
LOUISE MICHEL ,METRO 3
MALESHERBES   ,METRO 3
OPERA         ,METRO 3
PARMENTIER    ,METRO 3
PERE-LACHAISE ,METRO 3
REPUBLIQUE    ,METRO 3
SAINT-LAZARE  ,METRO 3
SAINT-MAUR    ,METRO 3
SENTIER       ,METRO 3
TEMPLE        ,METRO 3
VILLIERS      ,METRO 3
WAGRAM        ,METRO 3
GALLIENI,METRO 3
PERE-LACHAISE,METRO 3
HAUSSMANN-SAINT-LAZARE,METRO 3
PONT DE LEVALLOIS-BECON,METRO 3
PEREIRE       ,METRO 3
PEREIRE,METRO 3
GAMBETTA,METRO 3bis
PELLEPORT,METRO 3bis
PORTE DES LILAS,METRO 3bis
SAINT-FARGEAU,METRO 3bis
GAMBETTA      ,METRO 3bis
PELLEPORT     ,METRO 3bis
SAINT-FARGEAU ,METRO 3bis
ALESIA,METRO 4
BARBES-ROCHECHOUART,METRO 4
CHATEAU D'EAU,METRO 4
CHATEAU ROUGE,METRO 4
CHATELET,METRO 4
CITE,METRO 4
